no,x,y,z,begin
23,0.501492,-0.101404,0.484439,normal
24,0.480742,0.470781,0.507277,normal
25,0.500766,-0.0927426,0.472319,normal
26,0.467866,0.483719,0.476702,normal
27,0.457528,0.493813,0.467638,normal
28,0.498831,-0.0859965,0.186106,normal
29,0.505358,-0.112526,0.145993,normal
30,0.506143,-0.0810938,0.154998,normal
31,0.497835,-0.0533585,0.14297,normal
32,0.516408,-0.113753,0.105413,normal
33,0.520628,-0.0794388,0.107348,normal
34,0.504445,-0.0479151,0.103441,normal
35,0.530708,-0.117261,0.0557127,normal
36,0.536706,-0.0786116,0.0578771,normal
37,0.516292,-0.0428493,0.0562876,normal
38,0.539564,-0.12311,0.00785041,normal
39,0.543172,-0.0816698,0.025802,normal
40,0.528854,-0.0371599,0.00982502,normal
41,0.519436,-0.156159,-0.047931,normal
42,0.537306,-0.137868,-0.0401452,normal
43,0.532994,-0.0244066,-0.0379519,normal
44,0.507587,-0.158196,-0.0883158,normal
45,0.531479,-0.140646,-0.0936275,normal
46,0.536869,-0.01452,-0.0770939,normal
47,0.526922,-0.40915,-0.151402,normal
48,0.534787,-0.391481,-0.142429,normal
49,0.550959,-0.333693,-0.136637,normal
50,0.542952,-0.130475,-0.120708,normal
51,0.494935,-0.0573259,-0.135847,normal
52,0.495928,-0.0426031,-0.140941,normal
53,0.493041,0.42491,-0.155341,normal
54,0.473924,0.464037,-0.16278,normal
55,0.455478,0.494313,-0.160685,normal
56,0.492505,0.436765,-0.174794,normal
57,0.468281,0.461589,-0.171767,normal
no,x,y,z,end
no,x,y,z,begin
0,0.887802,-0.238738,-0.00660394,normal
1,0.880645,-0.22154,-0.00702991,normal
2,0.87015,-0.237704,-0.0264521,normal
3,0.864602,-0.227504,-0.0270147,normal
4,0.680778,-0.39628,-0.103869,normal
5,0.688083,-0.377174,-0.0982109,normal
6,0.669013,-0.361664,-0.12844,normal
7,0.659348,-0.37403,-0.126381,normal
8,0.51339,0.467249,0.542369,normal
9,0.510968,0.468374,0.521337,normal
10,0.547745,-0.0737338,0.0351046,normal
11,0.551732,-0.106639,-0.00721318,normal
12,0.555579,-0.075836,0.00498062,normal
13,0.548545,-0.0461332,-0.00634427,normal
14,0.555863,-0.112474,-0.0440681,normal
15,0.569519,-0.0749755,-0.0426944,normal
16,0.555636,-0.0399055,-0.0460427,normal
17,0.558664,-0.113961,-0.0899442,normal
18,0.579896,-0.0754114,-0.0870179,normal
19,0.563868,-0.0304572,-0.0892051,normal
20,0.550625,-0.128587,-0.12156,normal
